V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;VENTASNOP;GASTOS;GASTOSNOP;GASTOPNOP
1227998;4751-4752;474 - 475;4;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1228005;4772;476 - 477;14;1991;0;34658;139672,5;0;135;8632;0;95386;0;75;23075;3655;2277;163;124;2312;0;0;3838,5;115109;54099;289897;-105014,5;7;0;7;0;0;0;7;0;0;3;4;0;0;0;0;0;0;3;4;115109;25323;140432;26197,76;0;0;166629,76;553275;430936;241435;492105,5;241435;241435;0;390684;4314;569143
1228009;464;464-465;14;2005;0;2637658;787695;0;78241;42422;0;120790;53386;1600;1979;3812;395;89694;177324;192031;0;1200;24821;290535;157154;4398549;1849963;10;0;10;0;0;0;10;0;0;6;4;0;0;0;0;0;0;6;4;290535;87514;378049;63181,52;0;0;441230,52;497753;638501;1763739;568127;1763739;1763739;0;2699386;207209;3767966
1228015;473;473;4;2005;0;483430;228081,5;0;0;14100;0;63224;4973;17189;38449;999;4931;45759;220;37119;0;0;1118,5;108646;51762;3932935;255348,5;7;0;7;0;0;0;7;0;0;3;4;0;0;0;0;0;0;3;4;108646;23902;132548;25047,12;0;0;157595,12;114072;75322;3489660;94697;3489660;3489660;0;3756554;6063;3932898
1228023;465;464-465;14;2010;0;21134119;2470133;0;0;435702;0;2480;95880;8511;6761;244613;2106;453493;394559;131492;0;75994;45015;3300485;1708038;41289088;18663986;49;0;48;1;3;2;54;0;0;28;20;0;1;2;1;0;2;30;24;3239366;722668;3952026;822106,48;75994;45494;4819626,48;9255169;10795922;20146057;10025545,5;20146057;20146057;0;22819342;672289;29015081
1228031;462;462-463;9;2006;0;1080808;479036,5;789;0;7600;17710;22000;0;0;23951;21238;3996;156000;0;149343;0;0;76409,5;295523;134618;7108899;601771,5;23;0;23;0;0;0;23;0;0;2;21;0;0;0;0;0;0;2;21;295523;63569;359092;64723,24;0;0;423815,24;104898;115373;6334127;110135,5;6334127;6334127;0;6897863;4499;7357214
1228032;465;464-465;14;1996;0;947504;287516,5;0;0;68579;0;61779;13928;5846;4962;11831;1934;62410;13076;34640;0;0;8531,5;197875;81129;3145613;659987,5;13;1;13;0;0;0;14;1;0;7;6;0;0;0;0;0;0;8;6;197875;47490;245365;30314,84;0;0;275679,84;97032;2278;2207021;49655;2207021;2207021;0;2552771;15256;2889140
1228033;466;466-469;14;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1228034;466;466-469;14;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1228071;473;473;14;2002;0;1498347;711933;0;0;17528;17261;5867;12075;4642;38012;2084;1913;208397;0;12449;0;0;391705;149636;63932;16094741;786414;14;0;0;14;0;0;14;0;0;0;0;7;7;0;0;0;0;7;7;0;35391;0;25068,44;0;149636;174704,44;227455;156954;14583684;192204,5;14583684;14583684;0;15802285;35361;16086325
